jarak_tempuh_km,durasi_kemacetan_menit,suhu_saat_ini,nilai_mkt_sejauh_ini,probabilitas_rusak,durasi_ekskursi_menit_final,nilai_mkt_final
13.01,0.39,5.51,5.35,0.0,0,5.48
15.18,59.38,8.02,6.66,0.1744,43,7.93
18.1,21.84,4.15,3.8,0.0812,0,4.29
11.48,50.89,6.44,5.39,0.0,0,5.56
11.19,32.1,6.04,4.81,0.0,0,5.49
16.46,7.83,5.41,5.34,0.0,0,4.9
13.74,47.85,8.37,7.27,0.4273,54,8.55
2.49,42.59,4.59,4.19,0.0,0,4.82
4.61,31.65,5.43,4.77,0.0,0,5.35
5.46,30.87,2.88,4.08,0.0437,0,3.58
16.23,5.25,5.82,5.49,0.0,0,6.15
16.38,39.35,7.25,6.43,0.1898,28,7.53
19.3,54.67,7.05,5.43,0.2047,31,7.04
5.81,5.59,5.89,5.94,0.0203,0,5.7
13.95,15.81,6.06,5.64,0.0465,0,5.88
11.42,54.14,4.82,4.17,0.0045,6,5.81
9.96,17.06,3.43,3.17,0.0689,0,3.38
7.26,39.24,2.65,3.05,0.1111,0,3.3
13.44,32.09,6.0,5.05,0.0,0,5.71
4.8,35.78,4.97,4.49,0.0,0,4.73
6.57,24.95,5.87,4.69,0.0,0,4.93
14.19,18.0,2.84,4.28,0.0,0,4.12
7.21,2.91,4.63,4.52,0.0745,0,4.69
16.51,44.66,3.53,3.6,0.0354,0,4.02
18.58,44.77,5.93,4.97,0.0,6,5.99
11.14,40.24,5.05,4.44,0.0,0,5.59
2.67,38.62,3.97,3.6,0.0,0,3.45
17.98,14.62,3.77,4.06,0.0561,8,3.55
9.45,1.34,4.38,4.3,0.0228,0,4.45
7.39,48.52,3.22,4.62,0.0,0,4.77
11.53,29.47,4.56,4.35,0.0,0,4.49
11.03,18.41,3.74,4.1,0.0,0,3.87
13.64,6.12,7.19,6.64,0.0,0,6.75
13.75,3.76,6.0,5.33,0.0128,0,5.48
16.25,20.93,5.18,4.72,0.0317,0,5.41
12.65,48.28,6.4,5.27,0.0966,3,6.07
2.68,55.12,4.6,4.23,0.0,0,4.79
6.42,53.81,6.21,5.9,0.0165,0,6.3
9.65,55.2,5.07,4.7,0.1096,14,6.05
19.57,54.46,6.06,5.0,0.1324,28,6.79
6.77,31.63,4.88,4.62,0.0,0,4.96
7.99,13.16,4.69,4.52,0.0,0,4.62
3.58,47.88,6.32,5.83,0.175,9,6.93
3.67,12.82,4.86,4.6,0.0366,0,4.88
5.7,16.03,4.13,3.85,0.0818,0,4.02
15.58,14.0,3.95,3.61,0.0934,0,4.58
17.75,30.9,5.47,5.24,0.0357,0,6.05
11.51,19.31,4.26,4.22,0.0,0,4.36
18.93,9.25,5.35,5.18,0.0,0,5.4
13.85,27.19,2.89,2.94,0.0,0,2.98
14.45,52.43,6.85,6.04,0.1384,28,7.29
17.68,34.23,6.86,6.07,0.0331,7,6.76
9.45,52.7,5.35,4.69,0.0,0,4.82
10.31,11.75,5.12,5.03,0.0,0,4.99
18.59,10.02,5.68,5.6,0.0657,0,5.85
18.51,34.53,5.73,5.38,0.1231,12,6.63
5.9,27.8,4.65,4.39,0.0759,0,5.04
18.53,39.61,0.59,1.43,0.3921,58,1.73
6.91,47.68,6.06,5.3,0.0,3,6.13
4.63,45.08,6.39,5.96,0.0108,0,6.51
11.15,56.54,5.4,5.17,0.0459,10,6.28
19.86,23.9,7.59,6.84,0.0339,19,7.32
12.08,12.38,5.54,5.23,0.0488,0,5.61
13.31,33.05,3.53,3.59,0.0,0,3.74
12.95,6.64,5.65,5.21,0.0196,0,5.3
2.33,17.33,4.07,3.81,0.029,0,4.23
4.56,12.47,4.68,4.56,0.0,0,4.87
4.81,23.79,5.61,5.37,0.0,0,5.03
7.57,6.67,4.13,3.95,0.0589,0,4.25
5.85,1.91,5.75,5.63,0.0283,0,5.62
3.87,39.41,4.51,4.14,0.0165,0,4.6
14.39,36.61,5.25,4.47,0.0104,0,5.47
2.4,42.5,4.57,4.11,0.0036,0,4.48
8.81,39.62,6.35,6.06,0.0,0,6.35
17.9,6.86,6.87,6.37,0.0699,0,6.7
15.5,17.46,5.05,4.9,0.0232,0,5.31
13.22,7.77,4.72,4.73,0.0684,0,4.8
6.1,50.58,5.96,5.49,0.0,0,5.74
5.97,44.81,6.47,5.7,0.0,0,6.26
6.29,12.09,5.97,5.75,0.0,0,5.84
3.61,20.48,5.64,5.44,0.0356,0,5.74
3.89,58.0,5.36,3.95,0.0,0,4.45
2.75,35.65,5.76,5.35,0.0046,3,6.42
5.93,48.07,3.82,5.13,0.0,0,5.0
2.24,15.88,6.0,5.68,0.0702,0,6.07
8.12,12.6,6.48,6.04,0.0,0,6.29
7.22,47.04,7.26,6.37,0.1949,12,6.98
18.07,41.15,5.46,4.52,0.0,0,5.44
16.22,40.86,4.73,4.14,0.0193,0,4.44
18.03,33.16,9.21,6.88,0.2235,34,7.57
2.46,33.81,6.05,5.62,0.0,0,5.84
16.28,44.14,5.56,5.4,0.0443,0,6.18
7.1,16.2,4.98,4.5,0.0,0,5.1
3.47,21.17,5.79,5.14,0.038,0,5.38
10.84,52.3,5.16,4.55,0.0827,5,5.88
12.67,18.53,4.64,4.24,0.1746,0,4.72
7.26,32.78,5.43,5.17,0.0204,0,5.82
3.46,42.16,6.8,6.26,0.0347,0,6.5
7.02,60.0,5.26,4.64,0.041,0,4.89
7.59,26.12,5.81,5.44,0.0,0,6.23
2.61,25.69,7.13,6.6,0.0116,0,6.77
7.47,50.56,6.9,6.08,0.1089,12,6.85
14.22,48.33,7.82,6.12,0.1635,24,7.08
18.54,43.86,6.87,5.8,0.1871,29,7.18
19.43,27.79,7.33,6.17,0.0,10,6.64
14.8,19.44,5.1,4.72,0.0,0,5.0
17.57,36.52,3.51,3.53,0.0133,0,3.76
12.88,52.57,6.3,5.2,0.1077,9,6.05
5.28,53.03,7.81,6.23,0.0174,8,6.69
2.55,6.51,2.9,3.62,0.0557,0,3.47
13.33,25.7,6.81,6.2,0.0152,0,6.45
16.14,27.88,5.42,4.89,0.0174,0,5.48
8.3,58.66,6.37,5.2,0.1524,17,6.54
10.52,40.68,4.26,3.9,0.0,0,4.32
3.11,24.43,4.96,4.83,0.0682,0,4.9
19.39,1.56,1.64,2.73,0.4361,36,2.33
11.66,33.92,5.49,5.3,0.0232,0,5.98
7.04,5.76,6.33,6.17,0.0,0,6.26
2.1,50.07,6.27,5.7,0.0043,0,6.15
8.98,45.15,5.84,5.36,0.0787,0,5.49
5.44,27.63,3.25,3.84,0.0054,0,3.73
18.41,25.75,7.08,6.03,0.0129,0,6.35
3.96,53.84,5.7,5.05,0.0453,0,5.7
19.18,17.31,4.55,4.62,0.0,0,4.99
5.58,14.94,6.22,5.83,0.0502,0,6.14
6.11,56.35,5.51,4.68,0.0,0,5.35
18.37,48.55,3.7,3.74,0.0,1,3.61
17.72,49.24,5.53,4.67,0.0431,23,6.43
19.89,11.71,4.76,4.28,0.021,0,4.8
15.19,8.6,3.29,3.36,0.0,0,3.34
6.45,1.56,6.1,5.92,0.0298,0,6.11
17.4,14.22,4.18,3.63,0.0368,0,4.03
17.67,46.45,7.95,6.41,0.1673,23,6.97
13.54,14.4,4.81,4.43,0.0,0,4.83
10.74,43.75,3.43,4.31,0.0205,0,4.21
2.78,15.11,4.9,4.78,0.011,0,4.84
6.06,23.72,5.01,4.82,0.0,0,5.17
13.08,58.99,5.57,4.7,0.1448,15,6.14
11.69,14.69,3.9,4.04,0.2196,24,2.95
13.47,22.58,4.22,4.03,0.0,0,4.58
12.06,18.07,5.46,4.96,0.0,0,5.41
5.72,6.58,6.49,6.27,0.0,0,6.46
18.23,29.39,2.56,3.97,0.0,0,3.54
5.47,22.72,5.87,5.73,0.0524,0,5.92
5.71,41.69,5.18,4.57,0.0,0,4.9
6.69,49.06,5.89,5.01,0.0,0,5.2
6.22,32.65,6.35,5.59,0.0,0,5.7
7.01,1.93,4.04,3.85,0.0176,0,4.07
2.34,37.14,5.78,5.64,0.0,0,6.44
6.49,3.32,4.75,4.88,0.0,0,4.82
7.11,36.98,6.42,5.31,0.0,0,6.17
8.23,41.1,4.51,4.33,0.0862,0,4.66
5.84,11.87,5.55,5.38,0.1612,4,4.04
7.72,49.16,5.21,4.88,0.0302,0,5.67
5.21,54.67,5.89,4.82,0.0,0,5.57
16.58,48.79,7.61,6.11,0.0752,22,6.83
5.48,18.31,5.67,5.56,0.0,0,5.92
14.21,35.2,6.55,5.27,0.0,6,6.24
7.82,54.89,5.42,4.82,0.0,0,5.57
9.28,19.24,6.08,5.66,0.0441,0,5.99
12.14,49.2,6.79,6.17,0.1514,25,7.18
4.97,0.57,5.36,5.33,0.0009,0,5.35
7.49,0.22,5.67,5.59,0.0315,0,5.58
15.97,45.58,6.38,4.98,0.0752,16,6.27
11.59,45.69,7.75,6.95,0.1031,18,7.41
9.47,47.34,4.03,4.0,0.0258,0,4.43
11.84,55.8,5.19,4.82,0.0,0,5.79
7.47,7.07,5.12,4.65,0.0712,0,4.85
16.98,13.92,6.85,6.23,0.0211,0,6.64
5.88,54.22,5.67,4.52,0.0238,0,5.14
15.88,10.63,5.38,5.07,0.0,0,5.22
6.03,40.93,4.91,4.46,0.0036,0,5.15
19.33,31.83,4.69,3.21,0.0531,6,3.88
5.56,4.99,5.68,5.41,0.0,0,5.46
6.53,17.12,6.69,6.21,0.0154,0,6.44
17.14,31.22,-0.4,2.53,0.2689,45,1.88
4.69,51.14,5.71,4.98,0.0,0,5.58
12.17,42.45,7.34,6.12,0.0,1,6.53
7.9,37.31,4.29,4.36,0.0309,0,4.99
10.56,29.76,6.94,6.44,0.0,0,6.87
7.77,17.92,4.71,4.49,0.0,0,4.73
4.13,7.15,3.85,3.74,0.0867,0,3.8
7.49,24.54,5.23,4.66,0.0253,0,4.83
3.51,1.71,5.37,5.15,0.0,0,5.22
7.49,12.66,5.25,5.23,0.0,0,3.9
13.84,25.95,5.75,5.61,0.0,0,5.83
14.4,25.12,6.21,5.66,0.0,0,5.95
13.07,2.66,6.13,6.07,0.0318,0,6.04
5.94,35.34,4.89,4.34,0.0432,0,4.72
6.74,32.98,6.02,5.72,0.055,0,5.18
13.33,4.69,4.09,4.05,0.1053,8,3.21
9.31,56.59,5.82,4.81,0.0,8,6.0
19.1,5.96,3.25,3.79,0.0028,0,3.67
16.43,51.29,7.09,6.2,0.1483,16,6.88
19.59,0.02,4.27,4.06,0.0259,0,4.28
5.56,52.94,8.03,6.65,0.1426,18,7.02
9.28,1.18,5.77,5.81,0.0145,0,5.94
7.93,45.47,6.36,5.56,0.0,0,6.05
2.56,21.7,4.08,3.71,0.0,0,4.02
8.63,44.29,6.8,6.35,0.0,6,6.82
15.18,24.1,5.12,4.32,0.0,0,4.23
4.54,4.25,5.85,5.83,0.0587,0,5.87
6.77,46.05,8.85,7.26,0.185,19,7.59
18.32,4.28,4.34,4.59,0.0143,0,4.62
15.41,55.33,6.81,6.3,0.083,17,7.08
10.92,3.06,6.74,6.13,0.0,0,6.37
3.18,28.76,5.63,5.42,0.0,0,5.87
11.84,43.38,4.51,4.43,0.0321,0,4.92
3.0,23.59,4.33,4.16,0.0197,0,4.77
7.54,13.03,5.78,5.72,0.0,0,5.87
6.93,45.55,6.69,5.7,0.0,3,6.17
17.79,47.06,5.97,5.13,0.0743,1,6.08
16.35,55.36,7.92,6.49,0.1656,28,7.16
14.16,22.57,6.06,5.34,0.0,0,5.85
10.46,30.38,6.62,6.22,0.0384,0,6.53
8.15,21.79,5.3,5.34,0.0447,0,5.72
16.64,15.42,5.37,5.1,0.0,0,5.74
12.3,45.06,5.35,4.52,0.0207,0,5.09
8.37,20.38,4.99,4.73,0.0722,0,5.08
7.93,25.69,7.06,6.15,0.0,0,6.45
7.48,24.22,6.06,5.55,0.0227,0,5.98
16.66,42.76,2.17,3.07,0.0198,0,2.95
8.43,55.07,3.3,3.18,0.056,0,4.3
12.9,40.01,6.73,5.68,0.2193,28,7.28
2.98,28.29,5.48,4.87,0.0,0,5.4
13.69,46.75,1.34,3.46,0.2169,27,2.89
18.16,38.46,7.84,6.21,0.1012,19,6.84
18.02,3.64,4.38,4.3,0.0332,0,4.3
11.77,5.74,6.02,5.77,0.0138,0,5.9
5.23,2.28,4.68,4.61,0.0123,0,4.63
3.46,27.41,4.86,4.67,0.0586,0,4.78
14.09,49.55,5.23,4.35,0.0,0,4.63
13.37,18.78,6.85,6.35,0.0076,0,6.61
14.77,23.05,5.2,4.68,0.0431,0,5.54
7.46,54.57,5.07,3.49,0.0271,7,3.99
14.7,50.21,3.54,3.99,0.0,0,4.26
7.74,39.9,6.5,6.02,0.0236,0,6.51
16.26,16.01,6.31,5.87,0.0,0,5.75
10.09,7.02,4.73,4.95,0.0,0,4.5
15.65,0.96,5.86,5.79,0.0327,0,5.81
6.57,6.42,5.03,5.16,0.0525,0,5.37
11.12,17.56,6.12,5.91,0.0,0,6.12
7.64,33.11,5.72,5.04,0.0368,0,5.29
8.4,3.84,6.36,5.92,0.0,0,6.32
7.25,8.17,4.68,4.43,0.0,0,4.72
14.46,10.86,3.74,4.35,0.0,0,4.12
13.81,37.92,4.21,4.08,0.0059,0,4.53
10.3,36.95,5.95,5.65,0.0,0,5.82
12.24,33.05,5.89,5.33,0.0,0,5.55
13.96,15.03,5.38,4.96,0.0,0,5.13
5.8,22.27,5.83,5.66,0.0043,0,5.52
15.47,5.8,5.79,5.38,0.0701,0,6.21
3.54,13.59,6.09,5.8,0.0,0,6.05
8.03,53.86,5.88,5.08,0.0,0,5.58
8.21,58.78,7.09,6.62,0.2703,41,8.02
4.25,38.86,7.05,6.43,0.0692,10,7.06
5.76,55.01,7.45,6.09,0.1905,22,7.17
16.23,38.56,6.03,5.38,0.0,0,6.17
16.91,1.99,4.07,3.81,0.0752,0,4.24
8.04,59.81,5.54,5.94,0.0,0,6.01
19.39,5.94,4.96,4.44,0.0,0,4.91
12.54,40.96,7.07,5.23,0.0,0,5.77
5.58,15.17,5.1,4.58,0.0,0,4.85
15.6,23.52,6.28,5.96,0.0413,5,6.73
2.1,38.76,6.42,5.86,0.0544,0,6.07
6.28,26.19,7.03,6.36,0.0,0,6.6
8.3,15.03,5.68,5.53,0.0,0,5.72
5.13,20.07,6.13,6.09,0.0,0,6.16
15.74,20.49,6.46,5.77,0.0141,0,6.0
10.17,57.56,6.46,5.37,0.0808,18,6.78
3.59,47.92,6.73,6.12,0.1019,12,7.16
10.08,27.51,6.19,5.59,0.0742,0,6.06
17.29,11.99,4.9,4.78,0.0,0,4.5
6.96,48.66,8.01,6.94,0.207,30,7.81
5.02,9.43,6.67,6.12,0.0,0,6.32
10.11,12.63,6.22,5.97,0.0,0,6.18
11.13,21.96,6.6,6.11,0.0523,6,6.93
10.23,52.82,5.56,5.66,0.0221,0,6.14
16.45,7.91,5.22,5.26,0.0,0,5.25
6.45,7.33,4.07,3.97,0.0,0,3.99
10.27,29.64,5.01,4.75,0.0,0,4.97
2.6,16.58,6.27,6.02,0.0437,0,6.23
6.0,34.12,4.67,4.42,0.0098,0,4.34
19.14,27.1,4.96,4.38,0.0152,0,4.9
19.79,26.1,6.28,5.25,0.0,0,5.8
6.33,6.72,4.46,4.02,0.0,0,4.51
9.37,8.46,4.72,4.85,0.0,0,4.83
10.59,49.26,5.42,4.82,0.0347,0,5.89
16.65,53.15,6.37,6.16,0.057,0,6.18
4.5,14.08,5.25,5.13,0.0,0,5.27
14.67,6.81,3.07,4.21,0.0408,0,3.82
16.36,3.21,4.56,4.56,0.0,0,4.63
6.93,36.5,1.29,3.07,0.2613,23,2.67
17.5,42.92,5.62,4.99,0.1372,30,6.83
15.58,22.37,5.17,5.16,0.0408,0,5.4
13.66,40.78,5.59,5.18,0.0479,0,5.17
18.35,42.78,5.98,5.39,0.1368,23,6.87
15.5,56.12,6.64,5.75,0.1678,30,7.08
7.57,3.89,4.63,4.54,0.0348,0,4.51
11.45,11.54,6.79,6.41,0.0242,0,6.65
12.41,4.11,4.92,4.7,0.0,0,4.81
4.68,52.08,6.42,5.54,0.0991,0,5.93
19.32,47.56,6.1,5.0,0.0562,4,6.28
6.93,34.48,6.64,6.44,0.0,0,6.62
15.46,5.02,5.7,5.47,0.0,0,5.94
12.59,16.4,6.14,6.19,0.0,0,6.36
5.38,17.86,4.98,4.75,0.0236,0,4.86
18.87,33.64,3.48,3.82,0.0,0,4.25
17.78,15.48,5.79,5.66,0.0623,0,6.41
12.86,4.38,5.8,5.68,0.0,0,5.73
7.98,43.85,6.74,5.94,0.0177,4,6.73
6.82,17.94,4.78,4.42,0.0,0,4.57
6.9,27.14,3.4,5.09,0.0,0,4.36
4.59,7.66,3.55,3.62,0.0247,1,3.11
12.6,48.15,6.69,5.08,0.0321,13,6.04
19.5,33.93,6.35,5.75,0.0661,5,6.47
13.62,54.1,3.95,4.31,0.0134,0,4.79
18.35,29.73,5.41,4.84,0.0201,0,4.77
14.76,56.49,5.17,4.9,0.1345,14,6.2
12.13,53.51,6.81,5.65,0.0,2,6.37
4.5,34.59,5.89,5.08,0.0376,0,5.61
12.07,56.03,8.26,6.82,0.3174,41,7.85
2.56,19.39,4.45,4.29,0.0,0,4.59
9.37,21.94,4.51,4.24,0.0,0,4.55
7.24,2.73,6.42,6.21,0.0,0,6.54
17.83,35.35,7.21,6.05,0.0505,17,6.88
3.27,43.32,6.67,5.98,0.0465,0,6.34
18.34,46.41,4.68,4.41,0.0,0,4.17
19.07,8.99,2.7,3.4,0.0488,0,3.43
5.8,26.65,6.34,5.68,0.0,0,6.13
2.98,10.61,4.19,4.22,0.1046,0,4.42
10.62,39.73,5.35,4.35,0.0167,0,4.96
7.11,9.48,3.78,3.71,0.007,0,3.83
16.9,54.25,6.22,5.24,0.0,8,6.24
4.44,13.84,6.11,5.71,0.0364,0,6.0
6.57,17.48,6.52,5.83,0.0641,0,6.03
2.86,51.05,4.89,4.22,0.0866,0,4.77
7.02,27.51,4.45,4.32,0.0,0,4.43
17.21,1.44,5.39,5.13,0.0332,0,5.54
5.52,29.68,4.99,4.42,0.0293,0,5.41
19.24,5.07,4.27,4.7,0.0,0,5.11
10.09,59.12,6.11,5.09,0.0843,9,5.93
6.62,35.29,6.18,5.78,0.0083,0,6.22
12.6,15.39,3.32,4.24,0.0,0,4.09
6.29,33.82,4.16,4.33,0.0757,4,3.81
19.54,4.61,7.12,6.68,0.0853,6,7.02
6.39,47.99,7.18,6.5,0.0832,9,6.99
3.4,55.52,6.64,5.45,0.0,0,6.18
12.88,52.47,7.62,6.53,0.0489,15,6.97
10.53,20.51,3.45,3.52,0.0,0,4.38
5.99,19.55,5.0,4.71,0.0005,0,4.8
3.42,2.11,3.07,4.9,0.444,8,2.65
13.78,39.08,6.31,5.19,0.0,2,5.8
9.21,32.09,4.68,4.1,0.1074,0,5.27
4.49,27.56,5.9,5.38,0.157,0,4.92
3.55,54.46,7.25,5.94,0.0522,0,6.34
11.75,10.07,5.84,5.58,0.0474,0,5.7
13.16,0.58,3.5,5.29,0.0,0,4.9
4.69,4.4,5.03,5.26,0.0,0,5.11
4.93,13.4,5.47,5.38,0.0203,0,5.5
3.23,2.0,3.7,3.78,0.0,0,3.7
6.21,30.17,4.04,3.86,0.0,0,3.31
4.15,18.85,4.64,4.57,0.0,0,4.69
7.97,10.83,5.77,5.35,0.0,0,5.27
12.7,45.01,5.87,5.35,0.0489,0,6.3
4.92,12.27,5.3,4.63,0.0,0,4.83
5.83,41.26,6.15,4.95,0.0,0,5.34
7.5,20.96,4.9,4.68,0.0,0,5.06
6.8,30.71,5.48,5.44,0.0509,0,5.54
4.71,56.03,4.64,3.75,0.0,0,4.2
17.83,2.24,4.38,4.47,0.051,0,3.93
6.38,30.02,4.08,4.76,0.0538,0,4.58
17.52,51.27,7.79,5.67,0.0547,13,6.39
10.41,35.28,6.69,5.89,0.0901,0,6.37
14.18,16.61,5.71,5.81,0.0403,0,5.94
3.47,23.86,4.7,4.57,0.0445,0,4.61
7.49,40.82,6.32,5.78,0.0,0,6.26
8.24,53.45,5.75,5.11,0.0,0,5.3
7.71,2.46,5.51,5.68,0.0,0,5.65
5.2,4.29,3.66,3.75,0.0,0,3.74
5.79,19.5,4.78,4.47,0.027,0,4.65
5.26,13.97,3.96,3.91,0.0,0,3.99
2.78,15.9,4.67,4.65,0.0,0,4.82
14.84,13.28,2.68,3.4,0.0488,0,3.67
14.13,11.75,5.29,4.85,0.0,0,5.02
11.18,7.84,4.75,5.35,0.0,0,5.26
12.11,56.04,6.98,6.59,0.2708,38,8.06
11.22,8.65,4.08,3.84,0.0291,0,3.9
3.32,12.26,5.06,4.87,0.0453,0,4.98
8.45,14.78,5.55,5.46,0.0,0,5.54
5.09,55.98,6.7,6.01,0.0069,0,6.22
7.56,45.34,6.43,5.81,0.0376,10,6.53
8.04,47.38,7.61,6.83,0.2265,20,7.47
18.35,6.29,5.33,5.04,0.005,5,6.37
17.89,50.18,8.0,6.56,0.1944,30,7.31
6.15,24.49,6.35,5.67,0.0133,0,6.07
7.91,15.77,4.68,4.41,0.0487,0,4.8
12.43,34.55,5.01,4.25,0.0,0,5.06
14.14,49.33,4.82,4.93,0.0412,0,5.12
5.51,46.72,7.72,6.77,0.2275,25,7.53
15.75,53.4,5.43,5.12,0.0,0,5.67
13.92,55.69,5.4,4.45,0.1239,14,6.27
9.87,14.29,5.86,5.58,0.0,0,5.9
5.38,25.43,7.11,6.25,0.0199,0,6.51
16.25,0.88,3.82,3.79,0.0,0,3.91
6.31,52.76,7.1,5.89,0.0,2,6.36
6.66,9.27,4.98,5.05,0.0,4,4.38
11.3,51.69,6.35,5.76,0.111,15,6.84
13.66,19.76,6.93,6.29,0.1686,11,7.19
7.35,22.09,6.07,5.62,0.0571,0,5.66
2.47,2.35,5.86,5.83,0.0247,0,5.87
10.57,19.61,6.61,6.14,0.0443,0,6.5
8.13,53.3,4.59,4.23,0.0371,0,5.37
16.63,1.53,6.61,6.2,0.0343,0,6.55
4.34,24.38,5.93,5.34,0.0157,0,5.89
6.4,1.88,4.27,4.56,0.0,0,3.99
6.11,22.26,4.85,4.34,0.0032,0,4.58
7.97,10.36,4.8,4.67,0.0863,0,4.77
3.43,15.13,4.95,4.94,0.0472,0,5.15
5.3,52.66,6.2,5.57,0.0109,9,6.69
4.47,26.16,5.17,4.58,0.0,0,4.8
14.93,16.43,3.81,4.16,0.1279,10,3.28
9.67,35.36,5.14,5.06,0.0,0,5.5
9.8,8.53,4.05,4.2,0.0013,0,4.34
7.79,15.56,6.72,6.31,0.0,2,7.06
4.05,32.77,5.26,5.28,0.0,0,5.44
4.03,14.25,5.89,5.81,0.0,0,6.08
18.94,40.75,7.79,6.65,0.2036,32,7.46
8.34,29.49,4.92,4.84,0.0,0,5.58
20.0,46.32,6.72,5.96,0.2585,33,7.31
7.57,56.89,6.81,5.96,0.0775,6,6.7
16.57,6.95,7.06,6.3,0.0,0,6.64
6.74,20.08,6.8,6.43,0.0,0,6.82
6.21,19.17,6.27,6.0,0.0,0,6.6
18.12,9.07,6.11,5.66,0.0066,0,5.85
17.88,48.62,7.4,6.77,0.1167,14,7.01
11.05,45.59,7.7,6.76,0.2665,33,7.83
4.21,29.07,4.6,4.1,0.0,0,4.97
6.62,32.27,5.68,5.16,0.0,0,5.79
17.79,3.57,5.11,6.47,0.1086,0,6.18
4.4,33.33,6.84,6.36,0.0495,1,6.99
12.86,47.48,6.73,5.83,0.1956,22,6.97
4.44,34.43,6.65,6.07,0.0,0,6.35
10.31,15.92,6.27,5.78,0.0089,0,6.11
4.9,40.05,5.76,5.49,0.0,0,5.99
7.49,21.69,2.3,4.02,0.0,0,3.67
7.24,32.69,5.82,5.48,0.0,0,5.82
2.52,29.25,4.7,4.0,0.0,0,4.21
14.86,22.87,2.59,4.7,0.0,0,3.61
7.92,43.13,5.78,5.04,0.0234,0,5.9
10.86,53.03,4.16,4.59,0.0,0,4.79
19.2,0.31,3.72,3.81,0.0,0,4.0
8.7,56.02,9.41,7.81,0.4977,53,8.59
7.1,30.69,5.62,5.1,0.0,0,5.28
3.73,42.04,6.85,6.21,0.0105,7,7.01
7.71,51.34,5.13,5.0,0.0,0,5.74
19.06,28.03,4.19,4.14,0.0181,0,4.8
2.9,50.1,6.4,5.72,0.0,5,6.64
11.87,10.66,4.22,3.74,0.0,0,3.74
13.54,9.55,5.21,5.26,0.0,0,5.46
15.39,39.45,6.67,5.63,0.0196,0,6.23
13.88,52.21,4.33,5.27,0.0417,0,5.42
7.76,53.55,6.36,5.83,0.0284,2,6.42
2.27,38.62,5.48,5.16,0.0239,0,5.85
9.5,31.53,4.39,4.14,0.0221,0,4.45
8.21,19.88,4.57,4.2,0.0,0,4.37
5.57,58.8,6.68,5.54,0.0,0,6.27
5.65,19.18,5.43,5.36,0.0535,0,6.04
6.0,44.65,7.26,6.61,0.1444,13,7.18
15.18,31.92,5.92,5.18,0.0,0,6.15
14.91,36.51,5.46,4.86,0.0197,0,6.03
14.22,23.61,6.78,5.67,0.0312,1,6.24
4.76,57.89,4.86,4.41,0.0573,0,4.68
12.2,34.3,4.86,4.05,0.0376,0,4.49
18.06,56.27,7.25,6.1,0.0349,13,6.82
6.11,0.46,5.55,5.31,0.0064,0,5.46
18.9,34.36,4.29,4.06,0.0645,0,4.9
6.59,43.03,5.08,5.8,0.0,0,6.16
8.86,44.7,6.89,5.89,0.0869,9,6.55
13.46,54.3,5.21,4.91,0.0,0,5.72
5.89,0.26,4.76,4.83,0.0,0,4.95
7.07,0.02,4.0,3.87,0.0088,0,3.9
13.87,28.34,6.34,6.0,0.0322,3,6.75
9.72,1.76,4.91,4.82,0.0,0,5.22
5.79,58.47,7.23,6.0,0.0402,13,6.69
19.23,13.32,4.95,4.8,0.0,0,5.14
14.62,28.36,6.31,6.0,0.0,0,6.21
18.15,3.67,3.91,3.63,0.0678,0,3.58
5.76,31.32,4.16,4.07,0.0,0,4.36
10.35,22.8,5.95,5.43,0.0,0,5.76
6.82,2.68,5.54,5.38,0.0,0,5.43
15.14,20.11,5.62,5.77,0.0289,0,5.91
19.4,23.49,5.39,5.19,0.0195,0,5.39
5.01,59.4,6.22,5.63,0.1599,20,6.98
18.12,12.47,6.75,5.74,0.0,0,6.13
18.86,32.69,4.71,4.99,0.0404,0,4.07
2.79,59.24,7.49,6.56,0.2155,26,7.68
18.97,47.52,3.0,3.78,0.0392,3,3.91
10.97,59.6,6.43,5.25,0.1536,16,6.29
2.54,58.1,3.86,4.25,0.0376,0,4.56
15.54,29.37,6.09,5.81,0.0,0,5.59
7.12,41.78,6.28,5.8,0.0803,4,6.48
18.6,6.63,4.34,4.19,0.0,0,4.33
12.27,26.47,6.63,6.09,0.0187,0,6.61
11.9,48.54,4.93,4.07,0.0397,0,5.16
13.5,30.32,7.62,6.67,0.1859,15,7.13
7.24,42.16,7.04,6.41,0.1513,16,7.23
12.04,44.75,4.96,4.83,0.0,0,5.11
17.47,15.21,5.62,5.26,0.084,0,5.37
5.23,52.54,8.08,7.0,0.3621,41,8.14
5.74,27.59,4.69,4.44,0.0681,0,4.9
5.04,12.61,4.16,3.84,0.1447,5,3.6
6.73,51.92,6.79,6.34,0.2568,19,7.47
3.4,25.07,5.6,4.97,0.0003,0,5.42
5.84,45.02,6.32,5.48,0.0,0,4.96
19.18,32.88,5.75,4.68,0.0117,0,5.39
14.13,22.91,7.17,6.43,0.0,3,6.94
8.82,48.59,2.93,3.06,0.0286,0,3.36
2.76,35.07,1.64,2.82,0.2401,14,2.39
16.63,23.43,2.19,1.77,0.1722,23,2.33
13.62,6.58,4.97,4.71,0.0599,0,4.79
15.43,53.73,7.14,5.59,0.0045,12,6.27
18.86,2.13,5.74,5.53,0.0319,0,5.66
