sisa_jarak_km,durasi_kemacetan_menit,fluktuasi_mkt,probabilitas_rusak
488.4,37.9,-0.43,0.4566
55.36,95.1,2.23,0.1294
211.27,15.7,-1.87,0.1866
21.01,91.5,-1.17,0.0297
369.95,8.2,3.55,0.7594
459.04,1.5,-4.47,0.2333
140.02,107.8,1.48,0.3083
429.17,69.8,1.18,0.5585
146.11,42.2,0.64,0.0504
455.39,27.9,1.73,0.7028
376.98,74.0,-0.8,0.4573
402.45,61.1,-2.96,0.5519
9.0,119.0,1.24,0.128
481.41,118.0,1.33,0.9539
363.34,76.2,1.26,0.6087
152.38,53.1,-1.39,0.0997
414.7,58.9,-3.29,0.2734
140.76,81.9,-1.02,0.0793
436.38,12.2,0.86,0.4868
56.29,39.4,1.06,0.054
351.84,9.0,-2.57,0.1891
270.35,8.8,-0.71,0.0683
48.27,23.5,-4.77,0.0241
120.95,58.2,0.96,0.1169
6.2,94.2,-3.46,0.0259
234.38,58.3,0.46,0.2401
150.63,40.3,-4.37,0.0282
299.18,9.9,1.08,0.2281
148.62,66.0,-0.7,0.1919
149.96,32.6,-3.45,0.0779
371.6,73.8,0.23,0.5135
24.07,117.3,-2.98,0.0476
451.45,13.4,0.37,0.6037
426.13,25.5,-2.19,0.4948
333.9,56.8,-5.8,0.198
296.61,116.2,-3.96,0.3496
446.15,92.6,-2.58,0.7476
92.67,107.8,1.92,0.4771
39.48,40.0,0.75,0.0227
119.76,119.0,2.56,0.3269
397.29,12.3,2.63,0.5919
17.34,6.4,-2.84,0.0047
291.4,102.7,-1.97,0.35
497.72,111.3,-2.53,0.8512
427.85,10.9,-3.18,0.1634
260.72,13.6,-6.1,0.1047
31.82,4.0,-1.54,0.0112
415.69,12.5,-4.71,0.4585
299.49,25.1,-1.59,0.1179
57.47,116.4,3.79,0.6768
46.93,80.1,-2.77,0.0384
454.81,93.4,-1.01,0.7162
334.6,93.1,0.77,0.5399
414.64,64.2,-0.8,0.4283
439.49,95.7,-0.77,0.514
285.89,71.5,-2.41,0.2731
258.72,37.7,-2.08,0.1106
215.21,67.3,-3.9,0.1078
158.47,64.0,0.62,0.2375
217.3,98.8,-5.85,0.2678
386.94,117.8,0.93,0.7758
300.96,49.3,-5.01,0.1753
446.26,91.6,0.91,0.7099
221.69,12.0,-2.38,0.0647
303.54,93.2,-4.58,0.3764
315.65,44.6,-0.05,0.2718
295.85,4.7,0.82,0.1702
351.32,43.6,-2.6,0.1928
118.72,73.3,0.3,0.1313
256.18,14.3,-7.21,0.098
52.11,110.9,-4.8,0.0415
192.26,9.3,1.73,0.0546
243.83,111.6,-2.06,0.326
326.11,84.9,-6.16,0.2625
475.27,39.6,-3.25,0.5278
300.33,46.9,-3.81,0.1441
371.8,88.9,-1.91,0.4686
253.13,72.2,-2.43,0.1706
317.05,80.6,-1.05,0.5303
35.47,46.7,-1.67,0.0456
127.2,58.5,1.9,0.3119
180.93,118.8,-0.44,0.2212
236.25,25.7,-0.36,0.1402
22.82,50.1,1.41,0.0647
70.01,35.0,-2.47,0.0642
138.41,91.8,-4.65,0.1139
485.77,91.7,1.52,0.7257
165.67,35.1,-1.16,0.0254
241.02,9.8,-1.15,0.1692
98.05,1.4,-3.08,0.0306
305.39,51.3,-3.04,0.2659
140.34,49.2,0.62,0.1789
103.5,118.6,0.96,0.1051
258.29,56.4,0.46,0.1837
2.75,30.8,0.48,0.0209
3.83,106.9,-0.08,0.0763
109.53,58.9,-1.17,0.0437
18.36,71.9,-1.94,0.0203
54.01,11.5,1.53,0.027
169.43,45.9,-2.43,0.1323
401.29,113.3,-0.58,0.5097
286.02,70.7,-3.51,0.1936
256.33,41.3,-3.15,0.1806
146.74,75.1,-2.09,0.0725
465.88,109.2,-3.51,0.5033
198.51,32.9,0.49,0.0515
43.55,60.6,-4.87,0.0366
308.53,115.0,-1.25,0.4856
56.92,20.7,-1.17,0.0211
172.61,86.4,-6.03,0.1668
253.71,73.7,-2.6,0.1024
437.11,81.6,-0.86,0.3653
246.77,42.1,-0.43,0.3172
351.13,37.7,-2.01,0.3753
496.41,82.1,0.19,0.769
65.74,25.9,-1.77,0.0195
137.37,50.4,-1.47,0.0593
197.29,22.6,-0.87,0.0702
210.91,1.0,0.82,0.1611
205.51,116.4,-3.19,0.2873
453.81,51.8,-2.72,0.5425
357.02,116.3,-3.17,0.5043
303.95,16.8,-2.33,0.1947
154.69,70.5,2.07,0.3069
411.9,24.1,-0.07,0.3055
477.53,94.8,-4.33,0.5917
410.6,94.0,-3.0,0.5346
0.78,13.5,-0.57,0.0079
318.2,109.4,-3.77,0.4176
25.57,23.4,-3.31,0.0198
128.8,73.6,1.86,0.0794
29.76,118.3,-3.03,0.069
301.9,105.9,0.89,0.3653
343.29,114.8,1.64,0.7686
57.24,41.1,-3.33,0.0428
191.92,12.7,-3.72,0.048
228.12,22.6,-2.19,0.1129
184.53,60.1,-4.22,0.1386
60.51,95.2,-1.2,0.0628
209.47,18.0,-2.01,0.1435
375.59,79.2,-0.6,0.3384
35.5,38.8,1.99,0.1541
40.09,40.9,0.54,0.0338
177.39,79.4,-0.28,0.0902
470.86,56.0,-6.42,0.4829
334.29,97.4,-0.39,0.2862
339.33,18.7,2.81,0.6391
180.96,94.8,-9.03,0.0808
296.83,7.7,0.22,0.2349
5.07,23.3,-1.9,0.0102
318.05,78.7,-3.62,0.4119
456.64,102.6,0.5,0.7322
306.29,30.3,2.77,0.5511
436.85,39.3,0.44,0.3897
361.99,64.5,-2.43,0.3868
60.28,25.4,-3.86,0.0274
451.23,97.3,-1.14,0.4603
33.22,92.8,0.68,0.0515
266.98,17.4,-2.47,0.0853
71.07,55.7,-2.23,0.0301
5.85,93.0,5.56,0.7111
211.02,40.5,1.2,0.1849
147.52,76.0,1.38,0.1488
243.0,6.0,-5.15,0.0623
288.6,73.0,-3.27,0.2062
21.87,18.3,-1.31,0.0149
61.5,99.7,-4.0,0.0452
279.32,42.7,2.5,0.3701
171.58,33.8,2.03,0.2647
364.59,100.9,-2.83,0.5057
326.15,6.0,2.96,0.4748
422.8,47.6,-1.51,0.4007
346.25,44.4,4.97,0.8696
214.97,34.2,-1.14,0.0853
336.48,109.4,-0.06,0.5229
137.69,90.1,2.0,0.3486
153.16,7.7,1.69,0.0507
394.49,85.8,-0.22,0.4692
223.21,63.3,-1.85,0.0746
399.19,108.1,-0.21,0.6531
411.21,37.6,-3.54,0.4346
428.78,68.9,-1.12,0.4154
458.32,60.1,-4.27,0.5024
215.49,58.7,-5.95,0.0497
159.43,54.7,-1.37,0.1282
291.1,24.7,1.66,0.3887
185.59,90.7,0.81,0.3563
300.54,54.2,-1.7,0.3682
352.79,115.0,2.87,0.7606
344.2,31.3,-2.92,0.303
187.28,81.9,-6.29,0.2625
83.43,112.9,-6.96,0.0528
215.26,79.6,-4.45,0.1585
71.3,104.6,0.54,0.0981
445.05,99.3,-3.09,0.7266
172.94,43.2,-0.35,0.025
77.23,72.0,2.62,0.4196
12.72,18.8,-4.25,0.0152
322.91,64.3,-0.3,0.3788
318.45,27.7,-0.15,0.1725
170.3,89.2,-3.65,0.1747
35.86,63.4,1.89,0.0358
204.81,49.3,-2.22,0.09
155.61,32.3,-2.46,0.0873
338.56,119.8,3.78,0.9182
302.89,8.6,-0.19,0.0592
182.3,5.2,0.81,0.0798
108.95,26.1,1.89,0.0749
494.02,116.5,-3.13,0.6786
227.0,117.5,1.62,0.3303
344.14,78.6,-2.75,0.4357
70.28,105.6,-2.86,0.1422
242.79,25.7,-2.18,0.2474
13.77,116.6,-3.06,0.033
252.73,17.1,0.56,0.1818
482.01,12.1,-0.83,0.4887
192.1,13.5,-2.73,0.0452
19.5,68.8,0.19,0.0251
15.48,93.7,-2.19,0.0289
193.99,44.0,-2.32,0.0723
80.01,117.3,-1.38,0.1194
11.68,52.1,-0.34,0.05
378.11,18.1,-0.53,0.3426
229.26,55.9,-2.41,0.0669
144.62,81.5,0.62,0.1048
450.04,99.9,-2.06,0.777
58.07,55.1,-3.14,0.0272
477.96,71.2,-5.17,0.5899
156.98,32.1,0.96,0.0456
444.2,77.5,-1.47,0.6884
301.47,118.3,-0.97,0.2193
413.35,5.9,1.11,0.2214
492.01,106.4,-2.69,0.826
144.2,67.5,-4.94,0.2019
480.57,30.3,-1.33,0.4141
194.74,114.6,-0.73,0.2233
192.76,58.0,-2.16,0.1633
170.19,39.8,2.18,0.2524
270.7,21.8,-7.72,0.1003
77.07,29.3,1.3,0.0519
276.86,99.9,0.48,0.2171
270.85,73.7,-0.36,0.2477
380.95,109.6,-9.84,0.5363
416.82,27.8,1.71,0.5148
220.22,14.5,-4.07,0.0465
151.17,0.7,-2.77,0.0234
129.67,60.9,-1.93,0.0963
97.31,119.8,-0.48,0.1849
28.82,83.4,0.1,0.0422
171.22,37.0,0.73,0.0869
135.12,105.2,0.54,0.1252
483.21,93.8,-0.87,0.7758
278.85,1.8,-0.46,0.0974
173.64,98.0,-4.23,0.189
290.23,36.1,-3.38,0.1888
69.6,18.0,0.74,0.0328
222.02,27.2,0.59,0.0729
313.12,56.2,0.31,0.1879
244.45,51.0,-2.79,0.2287
200.89,34.7,0.78,0.0936
496.92,20.7,-4.4,0.3966
440.16,91.5,1.19,0.6323
311.7,118.8,-2.15,0.3032
284.69,93.3,2.71,0.6033
310.33,35.5,-5.3,0.3451
100.66,29.4,2.91,0.2351
197.57,26.1,-2.4,0.0578
19.73,16.4,-2.45,0.0278
237.77,66.2,-1.01,0.1569
271.51,72.6,-3.24,0.3633
113.87,84.7,-1.68,0.2291
482.01,81.6,-3.34,0.7492
454.73,35.1,-3.25,0.4283
361.07,39.6,-0.28,0.3391
266.69,81.8,-3.75,0.2438
434.98,41.9,-3.42,0.2126
65.33,25.5,-4.93,0.0194
395.25,44.9,-2.76,0.2423
62.41,32.7,1.78,0.0583
397.11,10.6,-3.61,0.4336
137.88,99.6,-3.33,0.2072
438.55,102.4,-1.02,0.6823
472.02,26.4,-2.43,0.5195
74.4,7.8,4.07,0.0918
231.34,88.7,-1.91,0.2778
490.49,25.4,-0.66,0.5682
241.7,47.2,0.86,0.0785
431.77,7.7,0.81,0.4848
294.37,27.2,-0.92,0.0795
187.66,95.1,-1.9,0.072
142.89,96.5,3.56,0.7089
101.61,24.9,-1.75,0.0215
380.9,40.3,-2.6,0.2304
193.27,16.1,-3.11,0.0982
255.64,8.9,-5.82,0.0777
246.16,119.1,0.55,0.377
288.64,78.7,-7.37,0.2475
432.79,65.1,-1.51,0.5279
490.37,91.9,-2.01,0.6655
203.79,100.8,4.1,0.7612
413.76,96.8,-6.08,0.5026
382.26,2.0,-3.75,0.2251
286.76,22.4,-1.84,0.1528
478.02,78.6,-1.99,0.8103
100.24,45.1,-2.87,0.0387
54.63,117.9,-1.7,0.0842
426.98,79.8,-4.65,0.558
219.57,114.8,-0.61,0.3683
423.48,24.2,-7.3,0.215
446.55,103.7,-1.56,0.6636
31.23,38.6,-3.0,0.0072
441.73,118.7,1.04,0.7865
224.16,18.9,2.89,0.4617
255.22,62.0,-2.33,0.131
313.3,95.1,1.98,0.67
463.19,51.9,-2.29,0.4304
9.56,56.2,-3.92,0.0178
238.42,118.4,2.86,0.8002
343.86,51.0,-0.2,0.1815
361.35,72.5,-1.49,0.4072
346.27,6.5,0.22,0.2064
67.22,101.1,-0.81,0.0535
149.7,77.8,-1.67,0.1133
179.36,48.5,-4.82,0.057
402.22,1.9,-2.18,0.2705
139.38,71.0,0.06,0.0501
105.35,1.5,-1.81,0.0218
478.72,0.1,0.76,0.4156
4.43,73.9,-0.54,0.0574
498.91,22.7,-3.7,0.4754
338.41,23.0,-4.8,0.2749
414.23,78.4,-1.89,0.5664
147.31,6.4,-2.81,0.0497
7.16,37.6,-0.66,0.0172
368.93,17.9,-3.3,0.3167
417.07,69.6,-3.04,0.4262
370.24,79.4,1.13,0.37
71.43,86.5,-1.13,0.0608
376.71,30.6,-3.26,0.31
384.46,10.7,-1.46,0.1123
329.27,9.4,1.95,0.2693
383.06,51.1,-0.77,0.2169
422.96,113.5,-0.02,0.727
306.8,26.1,-3.38,0.3063
44.3,30.8,1.07,0.0411
243.81,12.1,4.3,0.6166
38.82,72.7,-3.48,0.0549
203.77,81.6,-4.45,0.2954
203.55,77.2,-1.06,0.115
33.0,103.3,0.69,0.0845
174.41,58.4,-1.73,0.0832
55.5,16.1,-4.13,0.0224
404.12,34.7,-1.77,0.6239
473.84,79.5,-0.0,0.6221
36.16,73.6,-2.52,0.0283
477.56,63.7,0.02,0.428
261.29,82.0,1.41,0.5727
149.78,76.5,-0.9,0.0702
38.43,105.8,-1.57,0.0933
250.31,70.3,0.57,0.1918
397.26,93.4,-3.64,0.365
353.54,29.8,-3.89,0.2847
25.11,81.4,-2.17,0.0325
36.45,108.3,-2.73,0.0854
201.44,46.3,-3.51,0.1251
147.65,93.5,3.08,0.5504
116.19,87.0,3.93,0.4895
140.5,7.1,-2.38,0.0509
401.74,69.8,-1.27,0.3317
464.61,15.6,-1.97,0.1448
202.55,116.1,1.27,0.4941
453.06,97.4,1.76,0.8489
160.75,13.2,-5.94,0.0348
238.22,14.6,-0.31,0.0427
113.01,71.3,-4.77,0.0281
320.24,41.4,2.9,0.6097
489.49,4.2,-0.4,0.5752
301.75,65.0,-3.56,0.235
178.91,46.5,-2.1,0.0723
323.91,12.1,-2.22,0.1494
61.46,96.2,-0.19,0.1861
444.33,109.8,1.1,0.8508
251.54,90.8,-4.37,0.169
224.67,98.7,3.1,0.657
292.93,26.0,2.51,0.477
312.39,31.6,-3.69,0.1136
35.89,25.0,-1.32,0.0305
341.31,91.8,2.78,0.7037
120.97,113.8,1.58,0.1635
356.98,86.0,-2.34,0.4217
411.27,105.8,0.54,0.6586
401.98,76.6,5.99,0.9696
276.25,46.5,-1.24,0.1219
260.08,51.1,-3.08,0.1229
71.44,9.0,-1.07,0.0381
387.67,3.8,-0.88,0.2457
135.7,83.5,-2.81,0.0666
248.35,52.6,-0.4,0.063
142.14,66.3,-4.64,0.0559
66.91,66.9,-3.16,0.053
314.78,33.3,0.4,0.1735
27.17,57.1,-5.89,0.0223
374.32,56.5,0.76,0.378
158.79,46.6,-6.53,0.0713
0.07,98.5,-5.83,0.0672
255.56,54.1,-2.75,0.162
23.43,72.4,-0.78,0.0394
138.08,107.5,1.81,0.3083
353.49,103.9,-1.36,0.4103
31.34,106.9,-2.12,0.0998
419.67,32.4,-0.05,0.4291
1.91,4.2,-3.68,0.0323
123.41,31.3,-1.15,0.0608
370.45,33.4,-4.5,0.2169
158.14,109.1,-1.29,0.114
50.95,77.9,-1.82,0.0796
180.12,9.8,-3.51,0.0349
135.2,16.2,-1.09,0.059
421.36,18.7,-1.1,0.2264
156.67,75.7,1.44,0.2546
394.47,88.2,-5.51,0.3658
445.94,103.2,-1.69,0.732
216.91,112.9,-3.4,0.156
454.97,24.2,0.67,0.511
188.66,37.2,0.38,0.091
482.04,28.8,-0.23,0.46
44.64,43.1,-3.26,0.0242
343.51,109.8,0.71,0.5282
246.91,69.0,-5.33,0.1959
193.82,88.6,-5.84,0.107
316.36,58.8,-4.69,0.1693
351.93,3.5,-1.58,0.1404
2.18,7.7,0.19,0.0115
83.48,64.6,-8.94,0.0334
356.52,86.3,1.81,0.7671
333.19,25.8,-1.17,0.166
483.02,86.6,-5.42,0.6342
380.52,97.3,-1.25,0.3406
475.39,49.4,1.23,0.8605
351.27,89.6,-0.0,0.7042
149.03,48.5,1.25,0.0978
52.68,81.4,-4.92,0.0958
390.91,91.7,-2.54,0.4891
322.07,119.0,-3.81,0.6601
24.09,41.4,2.79,0.1369
180.03,49.3,0.1,0.0988
478.4,19.9,5.62,0.8515
250.2,24.5,-2.67,0.0711
216.36,83.2,-3.31,0.1808
228.85,110.0,-1.86,0.2851
104.44,47.4,1.95,0.0836
184.35,21.6,-2.42,0.0445
184.91,34.2,-1.19,0.097
26.18,54.6,-1.26,0.0153
383.78,34.9,-1.4,0.3016
208.25,28.0,-3.13,0.1425
411.09,88.3,-1.84,0.576
425.17,0.9,-1.95,0.2856
106.0,64.7,-1.52,0.0243
328.68,95.3,0.86,0.4164
236.14,31.9,2.9,0.6539
440.08,72.4,-3.6,0.4519
107.87,80.3,-2.48,0.1418
338.91,78.6,-3.56,0.286
303.88,53.5,-1.03,0.197
147.65,41.6,-2.85,0.0804
68.3,100.3,-0.9,0.0833
325.82,91.0,1.26,0.603
369.3,38.6,-7.81,0.2016
157.81,12.4,-0.27,0.0261
322.42,8.6,-2.65,0.0967
197.57,11.3,-0.35,0.0467
356.6,69.9,-3.74,0.329
99.61,6.2,1.49,0.1
445.11,40.4,0.78,0.5451
143.7,90.4,-0.08,0.1478
183.89,35.3,0.48,0.1054
29.05,91.6,-3.36,0.0307
55.76,89.5,-3.05,0.0628
257.93,29.5,0.38,0.1545
133.8,87.5,-3.42,0.1496
417.74,89.7,2.11,0.7155
7.35,47.7,-2.31,0.0086
189.55,25.3,-0.25,0.0747
168.67,62.6,3.75,0.5532
9.66,110.6,-3.27,0.0545
62.18,76.8,-1.33,0.0553
206.82,20.8,1.14,0.1957
246.43,81.9,0.88,0.2685
202.14,51.3,-2.32,0.0951
265.47,71.0,-2.79,0.2189
297.57,88.1,-2.08,0.1965
4.96,61.8,2.12,0.0881
232.05,97.7,-2.2,0.2296
481.75,86.7,-1.3,0.8134
259.52,73.8,-2.57,0.1876
338.77,18.1,0.26,0.221
155.93,100.3,-1.11,0.2161
387.0,112.3,-4.01,0.4655
386.46,16.4,-3.92,0.3837
260.65,58.6,-6.5,0.3421
488.01,31.1,-3.58,0.464
62.78,90.5,0.48,0.068
8.47,86.6,1.81,0.2255
385.08,16.9,0.21,0.3453
403.58,105.2,-0.11,0.5862
60.1,21.7,-1.82,0.0483
132.79,95.7,0.44,0.2536
8.78,54.8,-0.78,0.0224
146.65,39.4,3.01,0.309
386.57,19.0,-1.75,0.3028
258.98,20.1,1.86,0.2694
174.05,79.4,0.69,0.0997
185.87,66.1,0.34,0.0921
0.68,14.7,-6.53,0.007
149.9,13.5,0.82,0.0865
323.23,8.7,-1.82,0.085
487.1,89.3,-2.61,0.6967
423.53,85.4,-5.21,0.7475
11.8,7.0,-1.51,0.0269
449.28,67.2,-1.42,0.3066
391.6,10.2,-4.76,0.1354
390.19,108.4,-5.18,0.4651
229.0,108.9,-0.28,0.1652
199.0,83.8,0.68,0.112
151.46,111.1,-1.02,0.1643
32.85,97.4,1.38,0.1683
114.12,99.4,-1.72,0.1654
123.3,68.4,-1.64,0.0615
242.04,36.7,-3.79,0.1044
373.72,26.1,-5.4,0.2808
236.9,39.3,3.14,0.4531
28.92,75.4,1.33,0.1262
478.89,20.7,-4.98,0.4643
471.36,31.0,-1.11,0.389
392.59,56.2,-1.75,0.1908
495.66,28.0,-2.18,0.6535
272.24,70.6,-2.52,0.1672
481.38,110.8,-0.55,0.767
37.8,89.8,0.55,0.0298
182.84,80.0,-0.49,0.1367
112.69,69.9,-1.8,0.0759
97.92,58.6,-1.89,0.0593
70.4,22.4,0.84,0.1695
311.21,107.4,-0.34,0.3284
390.66,29.8,-1.32,0.3736
289.15,11.0,-1.59,0.1467
73.48,90.0,-0.64,0.0521
405.56,21.1,-2.67,0.369
317.98,44.6,0.55,0.2618
194.08,3.4,-4.19,0.0788
337.07,16.4,-2.53,0.3598
129.95,20.8,0.03,0.0449
172.6,6.5,-4.33,0.0406
458.74,78.8,-5.43,0.7063
145.25,100.4,-1.34,0.2436
234.99,44.8,-5.74,0.084
445.07,104.9,-4.75,0.6007
353.86,25.6,0.39,0.329
31.1,39.0,-2.01,0.0234
73.65,18.1,1.71,0.0436
3.92,74.5,-4.51,0.0439
315.46,50.4,-1.73,0.2922
223.84,73.6,-0.5,0.1452
67.14,91.4,-4.43,0.0717
478.97,65.5,1.08,0.6623
264.83,75.3,-0.22,0.1419
120.95,112.2,-5.52,0.1093
250.3,35.9,-1.59,0.1276
339.81,43.1,-0.54,0.1332
38.12,86.1,-2.98,0.0425
137.35,73.4,-5.2,0.0948
403.48,21.4,-0.8,0.4125
229.83,45.1,4.03,0.5686
273.29,56.1,-2.47,0.1096
216.41,50.3,2.42,0.3397
21.95,21.4,-3.38,0.0136
82.87,110.9,-0.96,0.1305
222.77,91.5,0.43,0.2214
104.59,57.8,-1.52,0.0155
24.99,81.6,-2.24,0.2262
421.82,107.7,0.32,0.6792
490.6,16.3,3.23,0.8391
396.57,30.0,-0.75,0.1615
426.89,65.1,-2.79,0.3015
120.99,95.9,-1.97,0.1053
480.31,4.4,4.8,0.921
98.46,118.1,-1.16,0.1694
475.71,54.6,-2.99,0.5605
497.41,43.1,-4.36,0.3853
355.86,35.1,-6.06,0.0848
490.57,20.9,-0.59,0.4227
284.77,95.0,0.14,0.2725
129.77,114.6,-2.49,0.0852
218.5,49.6,-1.54,0.1689
296.78,114.3,-4.43,0.2316
36.54,98.9,-1.17,0.0819
311.17,57.7,-0.3,0.1359
490.59,80.9,-2.84,0.6693
95.05,52.2,2.73,0.2986
396.3,67.0,-3.59,0.3792
453.95,7.0,-0.79,0.5202
471.85,83.6,0.62,0.8652
480.07,6.3,-1.69,0.3904
260.73,98.1,-1.97,0.3379
488.65,99.0,-5.07,0.806
378.66,28.4,1.89,0.5901
80.84,38.8,-1.92,0.0451
238.45,57.8,-0.16,0.1205
359.17,71.6,0.18,0.2163
123.67,34.5,-3.07,0.0244
320.31,71.1,-1.99,0.5794
333.3,35.7,1.84,0.4913
81.35,6.7,-4.29,0.0204
282.54,0.3,3.82,0.6656
385.81,12.1,-3.36,0.1671
249.45,95.1,-4.45,0.3129
6.05,115.4,-1.17,0.064
4.52,51.2,4.02,0.2587
178.51,61.5,-6.28,0.0897
463.1,17.6,-1.85,0.2663
114.34,66.1,-0.31,0.0472
317.18,17.4,-1.42,0.1097
111.04,73.3,-0.55,0.075
160.83,112.0,-3.3,0.0902
424.02,23.5,-3.0,0.2011
364.43,91.7,-1.87,0.4649
47.7,2.8,-4.32,0.0157
214.35,45.1,-1.61,0.1177
14.58,13.3,-2.47,0.0147
240.45,42.3,-2.68,0.3357
331.22,20.8,-0.7,0.1863
59.25,44.8,-6.05,0.0281
144.44,50.1,-2.07,0.0729
198.92,36.1,4.29,0.6723
459.77,78.8,-4.22,0.583
496.63,110.3,1.71,0.924
22.46,48.1,-1.36,0.0323
380.5,23.1,-3.01,0.2218
185.86,32.5,-4.8,0.078
196.23,102.5,-1.15,0.3558
377.13,68.6,2.13,0.7206
459.21,54.6,-2.47,0.3775
475.46,18.0,-1.7,0.3574
288.56,54.0,1.03,0.139
178.56,33.4,-0.65,0.0758
393.77,113.2,-5.43,0.7318
125.5,106.1,-1.25,0.0707
282.04,10.1,2.28,0.3431
179.29,62.0,-1.59,0.1621
328.32,27.0,-8.35,0.2844
120.2,49.3,-0.53,0.1035
95.8,105.2,-2.0,0.0435
459.12,63.3,-6.07,0.5927
50.9,40.1,-5.7,0.0141
252.98,24.9,0.94,0.1152
110.43,96.0,-3.33,0.1461
19.46,74.9,-3.77,0.0414
18.01,56.2,-1.59,0.0411
87.61,26.1,-3.11,0.0204
433.39,40.1,-1.25,0.5758
141.24,115.2,-2.01,0.2145
475.23,62.4,-4.5,0.6643
290.81,48.1,-2.78,0.12
218.31,62.6,-0.39,0.2263
290.04,93.5,-1.4,0.2818
258.35,40.8,-1.7,0.1065
379.39,21.4,3.34,0.7642
141.25,70.2,0.33,0.1384
176.53,79.8,0.63,0.1262
447.05,85.5,-1.91,0.8002
473.23,105.8,-0.95,0.8558
446.28,44.5,-2.58,0.5102
209.72,9.0,0.44,0.0993
390.18,115.0,-1.78,0.6251
238.17,52.2,-0.94,0.07
248.77,74.8,-1.1,0.2089
102.34,80.0,-1.55,0.0808
295.57,65.6,5.85,0.8877
93.07,24.6,-3.17,0.0282
165.78,90.6,-3.19,0.0472
427.52,96.5,0.24,0.4898
103.54,66.4,-2.99,0.0984
35.58,58.6,-2.23,0.078
34.5,13.7,-4.22,0.0111
470.39,10.1,-0.27,0.3789
253.46,40.7,-0.24,0.2122
204.71,37.3,-2.29,0.0716
405.44,114.4,0.29,0.7252
417.91,94.0,-6.15,0.559
166.1,79.2,-3.27,0.1997
346.81,62.1,-1.92,0.1923
385.56,20.1,-4.43,0.1589
327.33,117.4,-5.87,0.5049
75.8,45.0,-2.27,0.0403
437.94,12.8,0.24,0.3338
269.55,59.3,1.71,0.4641
141.24,104.9,-2.87,0.0943
212.61,106.5,0.33,0.1562
18.79,1.3,0.09,0.0107
63.93,106.4,1.55,0.1598
382.77,32.6,-2.38,0.2514
0.01,4.7,-6.0,0.022
208.28,101.7,-1.32,0.2844
261.26,103.7,-4.03,0.357
27.32,71.5,-3.31,0.0432
486.54,68.9,-2.25,0.5521
113.06,97.6,-2.35,0.0718
152.1,94.4,-1.15,0.0782
151.97,106.8,0.26,0.133
115.21,66.3,-2.42,0.0688
0.74,116.1,-0.51,0.0346
364.67,119.5,-1.46,0.5733
483.42,14.0,0.84,0.4958
112.15,101.9,-1.97,0.0934
331.52,60.0,-1.7,0.4092
370.95,46.5,-2.44,0.1125
424.21,73.6,-1.91,0.4515
211.31,6.7,-3.46,0.0201
151.47,60.8,-3.71,0.0947
162.65,104.5,0.44,0.2716
356.31,25.6,-4.21,0.1256
408.39,51.2,-2.3,0.2541
90.81,112.7,1.04,0.0904
185.47,51.4,-2.38,0.0986
450.97,43.0,0.57,0.4814
403.35,52.9,-2.98,0.3499
492.43,62.3,-4.13,0.5475
377.12,75.8,-5.49,0.3032
196.6,96.1,1.78,0.5372
295.32,54.3,-4.34,0.2337
330.51,98.1,0.37,0.3195
39.23,64.0,-4.0,0.0272
272.25,40.6,1.79,0.2549
354.66,79.0,4.02,0.9331
83.66,86.1,-5.72,0.1013
390.32,67.0,-4.21,0.3926
291.89,6.8,0.43,0.2789
476.11,20.4,-0.22,0.5844
21.21,34.2,0.44,0.0249
132.66,33.9,-2.93,0.0417
300.78,80.8,3.47,0.7347
148.28,2.2,-1.2,0.0228
357.21,90.7,-4.54,0.6422
379.5,31.8,-2.13,0.184
51.26,37.2,-4.51,0.0432
256.93,63.3,2.48,0.5835
254.45,25.9,-3.15,0.0972
184.64,106.1,-0.27,0.3715
466.46,10.2,-2.68,0.1987
413.75,53.3,-3.04,0.3941
348.6,101.9,-6.28,0.3949
357.16,73.9,-0.0,0.4865
230.86,35.1,1.75,0.2888
460.5,50.5,-3.79,0.2845
347.3,84.8,-5.36,0.5424
364.49,116.8,0.51,0.6716
430.85,107.2,-5.62,0.5092
137.04,41.1,1.55,0.1158
403.54,119.8,-3.76,0.4688
97.62,0.4,-4.26,0.0219
172.67,3.3,-0.88,0.0477
167.81,98.9,-4.1,0.1368
489.26,23.9,-3.27,0.3889
428.27,7.3,-0.62,0.1454
350.58,28.5,-7.57,0.2498
363.53,51.1,2.61,0.4444
281.04,87.7,-1.39,0.2847
473.55,74.9,-4.73,0.3805
248.13,28.5,-4.04,0.1128
190.26,60.4,0.98,0.1843
81.52,111.1,0.0,0.1216
393.1,97.8,1.97,0.8485
367.22,38.8,-3.21,0.3878
192.18,117.9,-0.76,0.1193
12.6,85.0,-0.43,0.041
419.5,7.5,0.24,0.5292
5.71,4.2,1.32,0.0282
351.85,20.2,-3.29,0.1421
485.13,87.3,-1.79,0.6573
218.83,22.0,-3.03,0.0685
117.49,61.4,-1.63,0.0381
352.44,11.2,0.25,0.2828
408.56,110.5,-5.64,0.6722
273.22,41.3,1.27,0.1682
483.52,109.0,-4.35,0.7223
25.83,113.4,-2.27,0.0534
252.4,0.7,1.61,0.0907
359.23,55.7,-0.68,0.1827
431.32,3.0,-0.65,0.1627
89.63,109.0,-4.45,0.1019
400.0,62.2,-4.11,0.3553
